schemaVersion,recordType,content.title,content.authors,content.paper_url,content.github_url,content.github_stars,content.published_date,collectedAt
1.0,RESEARCH_PAPER,Toward Compact Data from Big Data," Song-Kyoo,  Kim",http://arxiv.org/abs/2012.13677v1,,,2020-12-26T04:45:40,2026-09-10T19:42:28.408596
1.0,RESEARCH_PAPER,Towards sample-efficient episodic control with DAC-ML,"Ismael T. Freire, Adrián F. Amil, Vasiliki Vouloutsi, Paul F. M. J. Verschure",http://arxiv.org/abs/2012.13779v1,,,2020-12-26T16:38:08,2026-09-10T19:42:28.408623
1.0,RESEARCH_PAPER,Neural document expansion for ad-hoc information retrieval,"Cheng Tang, Andrew Arnold",http://arxiv.org/abs/2012.14005v1,,,2020-12-27T20:00:08,2026-09-10T19:42:28.408651
1.0,RESEARCH_PAPER,Devil is in the Edges: Learning Semantic Boundaries from Noisy Annotations,"David Acuna, Amlan Kar, Sanja Fidler",http://arxiv.org/abs/1904.07934v2,,,2019-04-16T19:16:57,2026-09-10T19:42:28.408682
1.0,RESEARCH_PAPER,How to define co-occurrence in different domains of study?,Mathieu Roche,http://arxiv.org/abs/1904.08010v1,,,2019-04-16T23:16:56,2026-09-10T19:42:28.408710
1.0,RESEARCH_PAPER,Decision Making with Machine Learning and ROC Curves,"Kai Feng, Han Hong, Ke Tang, Jingyuan Wang",http://arxiv.org/abs/1905.02810v1,,,2019-05-05T08:01:23,2026-09-10T19:42:28.408738
1.0,RESEARCH_PAPER,Feature Selection and Feature Extraction in Pattern Analysis: A Literature Review,"Benyamin Ghojogh, Maria N. Samad, Sayema Asif Mashhadi, Tania Kapoor, Wahab Ali, Fakhri Karray, Mark Crowley",http://arxiv.org/abs/1905.02845v1,https://github.com/Yimeng-Zhang/feature-engineering-and-feature-selection,1656.0,2019-05-07T23:41:34,2026-09-10T19:42:28.408779
1.0,RESEARCH_PAPER,AI-Powered Text Generation for Harmonious Human-Machine Interaction: Current State and Future Directions,"Qiuyun Zhang, Bin Guo, Hao Wang, Yunji Liang, Shaoyang Hao, Zhiwen Yu",http://arxiv.org/abs/1905.01984v1,,,2019-05-01T23:26:38,2026-09-10T19:42:28.408809
1.0,RESEARCH_PAPER,Conditioning LSTM Decoder and Bi-directional Attention Based Question Answering System,Heguang Liu,http://arxiv.org/abs/1905.02019v1,,,2019-05-02T01:07:20,2026-09-10T19:42:28.408836
1.0,RESEARCH_PAPER,2-bit Model Compression of Deep Convolutional Neural Network on ASIC Engine for Image Retrieval,"Bin Yang, Lin Yang, Xiaochun Li, Wenhan Zhang, Hua Zhou, Yequn Zhang, Yongxiong Ren, Yinbo Shi",http://arxiv.org/abs/1905.03362v1,,,2019-05-08T21:48:42,2026-09-10T19:42:28.408864
1.0,RESEARCH_PAPER,Variable Neighborhood Search for the Bin Packing Problem with Compatible Categories,"Luiz F. O. Moura Santos, Hugo T. Y. Yoshizaki, Claudio B. Cunha",http://arxiv.org/abs/1905.03427v1,https://github.com/Valdecy/Metaheuristic-Local_Search-Variable_Neighborhood_Search,27.0,2019-05-09T03:14:15,2026-09-10T19:42:28.408899
1.0,RESEARCH_PAPER,Robust Federated Training via Collaborative Machine Teaching using Trusted Instances,"Yufei Han, Xiangliang Zhang",http://arxiv.org/abs/1905.02941v1,,,2019-05-08T07:27:04,2026-09-10T19:42:28.408926
1.0,RESEARCH_PAPER,Image Matters: Scalable Detection of Offensive and Non-Compliant Content / Logo in Product Images,"Shreyansh Gandhi, Samrat Kokkula, Abon Chaudhuri, Alessandro Magnani, Theban Stanley, Behzad Ahmadi, Venkatesh Kandaswamy, Omer Ovenc, Shie Mannor",http://arxiv.org/abs/1905.02234v2,,,2019-05-06T18:35:28,2026-09-10T19:42:28.408953
1.0,RESEARCH_PAPER,ARCHANGEL: Tamper-proofing Video Archives using Temporal Content Hashes on the Blockchain,"Tu Bui, Daniel Cooper, John Collomosse, Mark Bell, Alex Green, John Sheridan, Jez Higgins, Arindra Das, Jared Keller, Olivier Thereaux, Alan Brown",http://arxiv.org/abs/1904.12059v1,,,2019-04-26T21:59:02,2026-09-10T19:42:28.408981
1.0,RESEARCH_PAPER,Semantic Referee: A Neural-Symbolic Framework for Enhancing Geospatial Semantic Segmentation,"Marjan Alirezaie, Martin Längkvist, Michael Sioutis, Amy Loutfi",http://arxiv.org/abs/1904.13196v1,,,2019-04-30T12:44:22,2026-09-10T19:42:28.409008
1.0,RESEARCH_PAPER,Relation-Shape Convolutional Neural Network for Point Cloud Analysis,"Yongcheng Liu, Bin Fan, Shiming Xiang, Chunhong Pan",http://arxiv.org/abs/1904.07601v3,,,2019-04-16T11:28:51,2026-09-10T19:42:28.409036
1.0,RESEARCH_PAPER,Contextual Aware Joint Probability Model Towards Question Answering System,"Liu Yang, Lijing Song",http://arxiv.org/abs/1904.08109v1,,,2019-04-17T07:16:10,2026-09-10T19:42:28.409066
1.0,RESEARCH_PAPER,Bayesian policy selection using active inference,"Ozan Çatal, Johannes Nauta, Tim Verbelen, Pieter Simoens, Bart Dhoedt",http://arxiv.org/abs/1904.08149v2,,,2019-04-17T09:18:07,2026-09-10T19:42:28.409101
1.0,RESEARCH_PAPER,Downhole Track Detection via Multiscale Conditional Generative Adversarial Nets,"Jia Li, Xing Wei, Guoqiang Yang, Xiao Sun, Changliang Li",http://arxiv.org/abs/1904.08177v1,,,2019-04-17T10:50:37,2026-09-10T19:42:28.409132
1.0,RESEARCH_PAPER,Exploration of Self-Propelling Droplets Using a Curiosity Driven Robotic Assistant,"Jonathan Grizou, Laurie J. Points, Abhishek Sharma, Leroy Cronin",http://arxiv.org/abs/1904.12635v1,,,2019-04-22T22:17:34,2026-09-10T19:42:28.409186
1.0,RESEARCH_PAPER,Unsupervised Data Augmentation for Consistency Training,"Qizhe Xie, Zihang Dai, Eduard Hovy, Minh-Thang Luong, Quoc V. Le",http://arxiv.org/abs/1904.12848v6,https://github.com/Jongchan/unsupervised_data_augmentation_pytorch,23.0,2019-04-29T17:56:59,2026-09-10T19:42:28.409246
1.0,RESEARCH_PAPER,Challenges of Real-World Reinforcement Learning,"Gabriel Dulac-Arnold, Daniel Mankowitz, Todd Hester",http://arxiv.org/abs/1904.12901v1,https://github.com/Tobi-Tob/TransformersForEnergyManagement,10.0,2019-04-29T18:40:15,2026-09-10T19:42:28.409303
1.0,RESEARCH_PAPER,Coevo: a collaborative design platform with artificial agents,"Gerard Serra, David Miralles",http://arxiv.org/abs/1904.13333v1,,,2019-04-30T15:55:34,2026-09-10T19:42:28.409355
1.0,RESEARCH_PAPER,GazeCorrection:Self-Guided Eye Manipulation in the wild using Self-Supervised Generative Adversarial Networks,"Jichao Zhang, Meng Sun, Jingjing Chen, Hao Tang, Yan Yan, Xueying Qin, Nicu Sebe",http://arxiv.org/abs/1906.00805v1,,,2019-06-03T13:43:01,2026-09-10T19:42:28.409407
1.0,RESEARCH_PAPER,From Words to Sentences: A Progressive Learning Approach for Zero-resource Machine Translation with Visual Pivots,"Shizhe Chen, Qin Jin, Jianlong Fu",http://arxiv.org/abs/1906.00872v1,,,2019-06-03T15:28:48,2026-09-10T19:42:28.409460
1.0,RESEARCH_PAPER,Neural networks grown and self-organized by noise,"Guruprasad Raghavan, Matt Thomson",http://arxiv.org/abs/1906.01039v1,,,2019-06-03T19:33:39,2026-09-10T19:42:28.409513
1.0,RESEARCH_PAPER,Analysis and Improvement of Adversarial Training in DQN Agents With Adversarially-Guided Exploration (AGE),"Vahid Behzadan, William Hsu",http://arxiv.org/abs/1906.01119v1,,,2019-06-03T23:31:25,2026-09-10T19:42:28.409569
1.0,RESEARCH_PAPER,Adversarial Exploitation of Policy Imitation,"Vahid Behzadan, William Hsu",http://arxiv.org/abs/1906.01121v1,,,2019-06-03T23:38:33,2026-09-10T19:42:28.409660
1.0,RESEARCH_PAPER,Sequential Triggers for Watermarking of Deep Reinforcement Learning Policies,"Vahid Behzadan, William Hsu",http://arxiv.org/abs/1906.01126v1,,,2019-06-03T23:42:44,2026-09-10T19:42:28.409713
1.0,RESEARCH_PAPER,Rapidly-Exploring Quotient-Space Trees: Motion Planning using Sequential Simplifications,"Andreas Orthey, Marc Toussaint",http://arxiv.org/abs/1906.01350v2,,,2019-06-04T11:23:38,2026-09-10T19:42:28.409764
1.0,RESEARCH_PAPER,Autonomous Reinforcement Learning of Multiple Interrelated Tasks,"Vieri Giuliano Santucci, Gianluca Baldassarre, Emilio Cartoni",http://arxiv.org/abs/1906.01374v1,,,2019-06-04T12:30:04,2026-09-10T19:42:28.409822
1.0,RESEARCH_PAPER,Hierarchical Decision Making by Generating and Following Natural Language Instructions,"Hengyuan Hu, Denis Yarats, Qucheng Gong, Yuandong Tian, Mike Lewis",http://arxiv.org/abs/1906.00744v5,,,2019-06-03T12:28:50,2026-09-10T19:42:28.409874
1.0,RESEARCH_PAPER,RL4health: Crowdsourcing Reinforcement Learning for Knee Replacement Pathway Optimization,"Hao Lu, Mengdi Wang",http://arxiv.org/abs/1906.01407v1,,,2019-05-24T22:12:02,2026-09-10T19:42:28.409924
1.0,RESEARCH_PAPER,Knowledge-augmented Column Networks: Guiding Deep Learning with Advice,"Mayukh Das, Devendra Singh Dhami, Yang Yu, Gautam Kunapuli, Sriraam Natarajan",http://arxiv.org/abs/1906.01432v1,,,2019-05-31T21:09:21,2026-09-10T19:42:28.409976
1.0,RESEARCH_PAPER,Options as responses: Grounding behavioural hierarchies in multi-agent RL,"Alexander Sasha Vezhnevets, Yuhuai Wu, Remi Leblond, Joel Z. Leibo",http://arxiv.org/abs/1906.01470v3,,,2019-06-04T14:18:47,2026-09-10T19:42:28.410033
1.0,RESEARCH_PAPER,Embedded hyper-parameter tuning by Simulated Annealing,"Matteo Fischetti, Matteo Stringher",http://arxiv.org/abs/1906.01504v1,,,2019-06-04T15:14:36,2026-09-10T19:42:28.410083
1.0,RESEARCH_PAPER,Privacy-preserving Crowd-guided AI Decision-making in Ethical Dilemmas,"Teng Wang, Jun Zhao, Han Yu, Jinyan Liu, Xinyu Yang, Xuebin Ren, Shuyu Shi",http://arxiv.org/abs/1906.01562v2,,,2019-06-04T16:27:47,2026-09-10T19:42:28.410135
1.0,RESEARCH_PAPER,Fair Classification via Unconstrained Optimization,Ibrahim Alabdulmohsin,http://arxiv.org/abs/2005.14621v1,,,2020-05-21T11:29:05,2026-09-10T19:42:28.410188
1.0,RESEARCH_PAPER,Unlucky Explorer: A Complete non-Overlapping Map Exploration,"Mohammad Sina Kiarostami, Saleh Khalaj Monfared, Mohammadreza Daneshvaramoli, Ali Oliayi, Negar Yousefian, Dara Rahmati, Saeid Gorgin",http://arxiv.org/abs/2005.14156v1,,,2020-05-28T17:19:24,2026-09-10T19:42:28.410241
1.0,RESEARCH_PAPER,Algorithm Selection Framework for Cyber Attack Detection,"Marc Chalé, Nathaniel D. Bastian, Jeffery Weir",http://arxiv.org/abs/2005.14230v1,,,2020-05-28T18:49:29,2026-09-10T19:42:28.410294
1.0,RESEARCH_PAPER,Efficient AutoML Pipeline Search with Matrix and Tensor Factorization,"Chengrun Yang, Jicong Fan, Ziyang Wu, Madeleine Udell",http://arxiv.org/abs/2006.04216v1,,,2020-06-07T18:08:48,2026-09-10T19:42:28.410346
1.0,RESEARCH_PAPER,Randomized Policy Learning for Continuous State and Action MDPs,"Hiteshi Sharma, Rahul Jain",http://arxiv.org/abs/2006.04331v2,,,2020-06-08T02:49:47,2026-09-10T19:42:28.410400
1.0,RESEARCH_PAPER,An ASP approach for reasoning in a concept-aware multipreferential lightweight DL,"Laura Giordano, Daniele Theseider Dupré",http://arxiv.org/abs/2006.04387v2,,,2020-06-08T07:15:38,2026-09-10T19:42:28.410452
1.0,RESEARCH_PAPER,CAST: A Correlation-based Adaptive Spectral Clustering Algorithm on Multi-scale Data,"Xiang Li, Ben Kao, Caihua Shan, Dawei Yin, Martin Ester",http://arxiv.org/abs/2006.04435v1,,,2020-06-08T09:46:35,2026-09-10T19:42:28.410503
1.0,RESEARCH_PAPER,Learning under Invariable Bayesian Safety,"Gal Bahar, Omer Ben-Porat, Kevin Leyton-Brown, Moshe Tennenholtz",http://arxiv.org/abs/2006.04497v1,,,2020-06-08T12:07:59,2026-09-10T19:42:28.410554
1.0,RESEARCH_PAPER,Policy-focused Agent-based Modeling using RL Behavioral Models,"Osonde A. Osoba, Raffaele Vardavas, Justin Grana, Rushil Zutshi, Amber Jaycocks",http://arxiv.org/abs/2006.05048v3,,,2020-06-09T04:55:07,2026-09-10T19:42:28.410617
1.0,RESEARCH_PAPER,Supervised Whole DAG Causal Discovery,"Hebi Li, Qi Xiao, Jin Tian",http://arxiv.org/abs/2006.04697v1,,,2020-06-08T15:53:20,2026-09-10T19:42:28.410671
1.0,RESEARCH_PAPER,CycleGT: Unsupervised Graph-to-Text and Text-to-Graph Generation via Cycle Training,"Qipeng Guo, Zhijing Jin, Xipeng Qiu, Weinan Zhang, David Wipf, Zheng Zhang",http://arxiv.org/abs/2006.04702v3,,,2020-06-08T15:59:00,2026-09-10T19:42:28.410723
1.0,RESEARCH_PAPER,Principles to Practices for Responsible AI: Closing the Gap,"Daniel Schiff, Bogdana Rakova, Aladdin Ayesh, Anat Fanti, Michael Lennon",http://arxiv.org/abs/2006.04707v1,,,2020-06-08T16:04:44,2026-09-10T19:42:28.410773
1.0,RESEARCH_PAPER,Mathematical Reasoning via Self-supervised Skip-tree Training,"Markus N. Rabe, Dennis Lee, Kshitij Bansal, Christian Szegedy",http://arxiv.org/abs/2006.04757v3,,,2020-06-08T17:12:08,2026-09-10T19:42:28.410830
1.0,RESEARCH_PAPER,Reinforcement Learning for Multi-Product Multi-Node Inventory Management in Supply Chains,"Nazneen N Sultana, Hardik Meisheri, Vinita Baniwal, Somjit Nath, Balaraman Ravindran, Harshad Khadilkar",http://arxiv.org/abs/2006.04037v1,,,2020-06-07T04:02:59,2026-09-10T19:42:28.410887
1.0,RESEARCH_PAPER,An Empirical Meta-analysis of the Life Sciences (Linked?) Open Data on the Web,"Maulik R. Kamdar, Mark A. Musen",http://arxiv.org/abs/2006.04161v1,,,2020-06-07T14:26:32,2026-09-10T19:42:28.410938
1.0,RESEARCH_PAPER,DeepFair: Deep Learning for Improving Fairness in Recommender Systems,"Jesús Bobadilla, Raúl Lara-Cabrera, Ángel González-Prieto, Fernando Ortega",http://arxiv.org/abs/2006.05255v1,,,2020-06-09T13:39:38,2026-09-10T19:42:28.410990
1.0,RESEARCH_PAPER,Towards United Reasoning for Automatic Induction in Isabelle/HOL,Yutaka Nagashima,http://arxiv.org/abs/2005.12737v1,,,2020-05-25T08:30:05,2026-09-10T19:42:28.411041
1.0,RESEARCH_PAPER,BHN: A Brain-like Heterogeneous Network,Tao Liu,http://arxiv.org/abs/2005.12826v2,,,2020-05-26T16:02:38,2026-09-10T19:42:28.411095
1.0,RESEARCH_PAPER,Applying Evolutionary Metaheuristics for Parameter Estimation of Individual-Based Models,"Antonio Prestes García, Alfonso Rodríguez-Patón",http://arxiv.org/abs/2005.12841v1,,,2020-05-24T07:48:27,2026-09-10T19:42:28.411149
1.0,RESEARCH_PAPER,GoChat: Goal-oriented Chatbots with Hierarchical Reinforcement Learning,"Jianfeng Liu, Feiyang Pan, Ling Luo",http://arxiv.org/abs/2005.11729v2,,,2020-05-24T12:14:19,2026-09-10T19:42:28.411202
1.0,RESEARCH_PAPER,"Breiman's ""Two Cultures"" Revisited and Reconciled"," Subhadeep,  Mukhopadhyay, Kaijun Wang",http://arxiv.org/abs/2005.13596v1,,,2020-05-27T19:02:56,2026-09-10T19:42:28.411253
1.0,RESEARCH_PAPER,Opportunistic Multi-aspect Fairness through Personalized Re-ranking,"Nasim Sonboli, Farzad Eskandanian, Robin Burke, Weiwen Liu, Bamshad Mobasher",http://arxiv.org/abs/2005.12974v1,,,2020-05-21T04:25:20,2026-09-10T19:42:28.411304
1.0,RESEARCH_PAPER,Learning LWF Chain Graphs: an Order Independent Algorithm,"Mohammad Ali Javidian, Marco Valtorta, Pooyan Jamshidi",http://arxiv.org/abs/2005.14037v1,,,2020-05-27T01:05:49,2026-09-10T19:42:28.411355
1.0,RESEARCH_PAPER,Chat as Expected: Learning to Manipulate Black-box Neural Dialogue Models,"Haochen Liu, Zhiwei Wang, Tyler Derr, Jiliang Tang",http://arxiv.org/abs/2005.13170v1,,,2020-05-27T05:34:12,2026-09-10T19:42:28.411407
1.0,RESEARCH_PAPER,Beware the evolving 'intelligent' web service! An integration architecture tactic to guard AI-first components,"Alex Cummaudo, Scott Barnett, Rajesh Vasa, John Grundy, Mohamed Abdelrazek",http://arxiv.org/abs/2005.13186v1,,,2020-05-27T06:15:18,2026-09-10T19:42:28.411461
1.0,RESEARCH_PAPER,From Probability to Consilience: How Explanatory Values Implement Bayesian Reasoning,"Zachary Wojtowicz, Simon DeDeo",http://arxiv.org/abs/2006.02359v1,,,2020-06-03T16:11:45,2026-09-10T19:42:28.411515
1.0,RESEARCH_PAPER,Fairness-Aware Explainable Recommendation over Knowledge Graphs,"Zuohui Fu, Yikun Xian, Ruoyuan Gao, Jieyu Zhao, Qiaoying Huang, Yingqiang Ge, Shuyuan Xu, Shijie Geng, Chirag Shah, Yongfeng Zhang, Gerard de Melo",http://arxiv.org/abs/2006.02046v2,,,2020-06-03T05:04:38,2026-09-10T19:42:28.411570
1.0,RESEARCH_PAPER,An ExpTime Upper Bound for $\mathcal{ALC}$ with Integers (Extended Version),"Nadia Labai, Magdalena Ortiz, Mantas Šimkus",http://arxiv.org/abs/2006.02078v1,,,2020-06-03T07:28:39,2026-09-10T19:42:28.412010
1.0,RESEARCH_PAPER,A Mixed Initiative Semantic Web Framework for Process Composition,"Jinghai Rao, Dimitar Dimitrov, Paul Hofmann, Norman Sadeh",http://arxiv.org/abs/2006.02168v1,,,2020-06-03T11:02:31,2026-09-10T19:42:28.412261
1.0,RESEARCH_PAPER,A novel approach for multi-agent cooperative pursuit to capture grouped evaders,"Muhammad Zuhair Qadir, Songhao Piao, Haiyang Jiang, Mohammed El Habib Souidi",http://arxiv.org/abs/2006.01022v2,,,2020-06-01T15:39:58,2026-09-10T19:42:28.412401
1.0,RESEARCH_PAPER,Invariant Policy Optimization: Towards Stronger Generalization in Reinforcement Learning,"Anoopkumar Sonar, Vincent Pacelli, Anirudha Majumdar",http://arxiv.org/abs/2006.01096v3,,,2020-06-01T17:28:19,2026-09-10T19:42:28.412649
1.0,RESEARCH_PAPER,Revisiting Bounded-Suboptimal Safe Interval Path Planning,"Konstantin Yakovlev, Anton Andreychuk, Roni Stern",http://arxiv.org/abs/2006.01195v1,,,2020-06-01T18:42:52,2026-09-10T19:42:28.412802
1.0,RESEARCH_PAPER,Coordinating Multiagent Industrial Symbiosis,"Vahid Yazdanpanah, Devrim Murat Yazan, W. Henk M. Zijm",http://arxiv.org/abs/2006.01784v1,,,2020-06-02T17:05:43,2026-09-10T19:42:28.412879
1.0,RESEARCH_PAPER,Towards Ranking-based Semantics for Abstract Argumentation using Conditional Logic Semantics,"Kenneth Skiba, Matthias Thimm",http://arxiv.org/abs/2008.02735v1,,,2020-08-05T08:34:16,2026-09-10T19:42:28.413216
1.0,RESEARCH_PAPER,EasyRL: A Simple and Extensible Reinforcement Learning Framework,"Neil Hulbert, Sam Spillers, Brandon Francis, James Haines-Temons, Ken Gil Romero, Benjamin De Jager, Sam Wong, Kevin Flora, Bowei Huang, Athirai A. Irissappane",http://arxiv.org/abs/2008.01700v2,,,2020-08-04T17:02:56,2026-09-10T19:42:28.413341
1.0,RESEARCH_PAPER,The Emergence of Adversarial Communication in Multi-Agent Reinforcement Learning,"Jan Blumenkamp, Amanda Prorok",http://arxiv.org/abs/2008.02616v2,,,2020-08-06T12:48:08,2026-09-10T19:42:28.413424
1.0,RESEARCH_PAPER,Deep Reinforcement Learning for Tactile Robotics: Learning to Type on a Braille Keyboard,"Alex Church, John Lloyd, Raia Hadsell, Nathan F. Lepora",http://arxiv.org/abs/2008.02646v1,,,2020-08-06T13:29:05,2026-09-10T19:42:28.413490
1.0,RESEARCH_PAPER,eclingo: A solver for Epistemic Logic Programs,"Pedro Cabalar, Jorge Fandinno, Javier Garea, Javier Romero, Torsten Schaub",http://arxiv.org/abs/2008.02018v1,,,2020-08-05T09:32:05,2026-09-10T19:42:28.413552
1.0,RESEARCH_PAPER,Axiom-based Grad-CAM: Towards Accurate Visualization and Explanation of CNNs,"Ruigang Fu, Qingyong Hu, Xiaohu Dong, Yulan Guo, Yinghui Gao, Biao Li",http://arxiv.org/abs/2008.02312v4,,,2020-08-05T18:42:33,2026-09-10T19:42:28.413613
1.0,RESEARCH_PAPER,COVID-19 in differential diagnosis of online symptom assessments,"Anitha Kannan, Richard Chen, Vignesh Venkataraman, Geoffrey J. Tso, Xavier Amatriain",http://arxiv.org/abs/2008.03323v3,,,2020-08-07T18:10:42,2026-09-10T19:42:28.413672
1.0,RESEARCH_PAPER,Wikidata Constraints on MARS (Extended Technical Report),"David L. Martin, Peter F. Patel-Schneider",http://arxiv.org/abs/2008.03900v2,,,2020-08-10T04:49:02,2026-09-10T19:42:28.413728
1.0,RESEARCH_PAPER,Purely Bayesian counterfactuals versus Newcomb's paradox,Lê Nguyên Hoang,http://arxiv.org/abs/2008.04256v1,,,2020-08-10T16:56:48,2026-09-10T19:42:28.413782
1.0,RESEARCH_PAPER,Fault-Tolerant Control of Degrading Systems with On-Policy Reinforcement Learning,"Ibrahim Ahmed, Marcos Quiñones-Grueiro, Gautam Biswas",http://arxiv.org/abs/2008.04407v1,,,2020-08-10T20:42:59,2026-09-10T19:42:28.413867
1.0,RESEARCH_PAPER,SMT-based Safety Verification of Parameterised Multi-Agent Systems,"Paolo Felli, Alessandro Gianola, Marco Montali",http://arxiv.org/abs/2008.04774v2,,,2020-08-11T15:24:05,2026-09-10T19:42:28.413924
1.0,RESEARCH_PAPER,Learning abstract structure for drawing by efficient motor program induction,"Lucas Y. Tian, Kevin Ellis, Marta Kryven, Joshua B. Tenenbaum",http://arxiv.org/abs/2008.03519v1,,,2020-08-08T13:31:14,2026-09-10T19:42:28.413978
1.0,RESEARCH_PAPER,Distributed Deep Reinforcement Learning for Functional Split Control in Energy Harvesting Virtualized Small Cells,"Dagnachew Azene Temesgene, Marco Miozzo, Deniz Gündüz, Paolo Dini",http://arxiv.org/abs/2008.04105v1,,,2020-08-07T12:27:01,2026-09-10T19:42:28.414036
1.0,RESEARCH_PAPER,Proof-Carrying Plans: a Resource Logic for AI Planning,"Alasdair Hill, Ekaterina Komendantskaya, Ronald P. A. Petrick",http://arxiv.org/abs/2008.04165v2,,,2020-08-10T14:45:52,2026-09-10T19:42:28.414088
1.0,RESEARCH_PAPER,Risk-Sensitive Markov Decision Processes with Combined Metrics of Mean and Variance,Li Xia,http://arxiv.org/abs/2008.03707v1,,,2020-08-09T10:35:35,2026-09-10T19:42:28.414141
1.0,RESEARCH_PAPER,Neural Manipulation Planning on Constraint Manifolds,"Ahmed H. Qureshi, Jiangeng Dong, Austin Choe, Michael C. Yip",http://arxiv.org/abs/2008.03787v1,,,2020-08-09T18:58:10,2026-09-10T19:42:28.414195
1.0,RESEARCH_PAPER,Metaheuristics for the operating theater planning and scheduling: A systematic review,"Amirhossein Moosavi, Onur Ozturk",http://arxiv.org/abs/2008.04970v1,,,2020-08-11T19:13:31,2026-09-10T19:42:28.414247
1.0,RESEARCH_PAPER,"Sistema experto para el diagnóstico de enfermedades y plagas en los cultivos del arroz, tabaco, tomate, pimiento, maíz, pepino y frijol","Ing. Yosvany Medina Carbó, MSc. Iracely Milagros Santana Ges, Lic. Saily Leo González",http://arxiv.org/abs/2007.11038v1,,,2020-07-21T18:39:37,2026-09-10T19:42:28.414299
1.0,RESEARCH_PAPER,Transfer Deep Reinforcement Learning-enabled Energy Management Strategy for Hybrid Tracked Vehicle,"Xiaowei Guo, Teng Liu, Bangbei Tang, Xiaolin Tang, Jinwei Zhang, Wenhao Tan, Shufeng Jin",http://arxiv.org/abs/2007.08690v1,,,2020-07-16T23:39:34,2026-09-10T19:42:28.414356
1.0,RESEARCH_PAPER,"Toward Machine-Guided, Human-Initiated Explanatory Interactive Learning","Teodora Popordanoska, Mohit Kumar, Stefano Teso",http://arxiv.org/abs/2007.10018v1,,,2020-07-20T11:51:31,2026-09-10T19:42:28.414412
1.0,RESEARCH_PAPER,Multi-Principal Assistance Games,"Arnaud Fickinger, Simon Zhuang, Dylan Hadfield-Menell, Stuart Russell",http://arxiv.org/abs/2007.09540v1,,,2020-07-19T00:23:25,2026-09-10T19:42:28.414466
